Wow!	वाह!
Where's my book?	मेरी किताब कहाँ है?
You startled me!	तुमने मुझे डरा दिया!
You're a person.	तुम इनसान हो।
Are you a doctor?	आप डॉक्टर हैं क्या?
Can you teach me?	क्या तुम मुझे सिखा सकते हो?
Climb to the top.	ऊपर तक चढ़ जाओ।
Come and join us.	आओ हमारे साथ बैठो।
Come sit with us.	आओ हमारे साथ बैठो।
Cut the potatoes.	आलूओं को काटो।
Do you have rice?	तुम्हारे पास चावल है क्या?
Don't make faces.	मूँह मत बनाओ।
Don't make noise.	शोर मत मचाओ।
Have a good time.	मज़े करो।
Have a nice time.	मज़े करो।
He has long legs.	उसके पैर लम्बे हैं।
He is her friend.	वह उसका दोस्त है।
He likes oranges.	उसे संत्रे अच्छे लगते हैं।
He likes oranges.	उसे नारंगी अच्छे लगते हैं।
He must love you.	वह तुमसे प्यार करता होगा।
He speaks Arabic.	वह अरबी बोलता है।
Here is your bag.	यह लो, तुम्हारा बस्ता।
I can't remember.	मुझे याद नहीं।
I don't know him.	मैं उसे नहीं जानता।
I have a problem.	मैं मुश्किल में हूँ।
I have to go now.	मुझे अभी जाना है।
I live near here.	मैं आस-पड़ोस में रहता हूँ।
I love my mother.	मैं अपनी माँ से प्यार करता हूँ
I must leave now.	मुझे अब जाना होगा।
I'm really tired.	मैं बहुत थक गया हूँ।
I'm very thirsty.	मुझे बहुत प्यास लगी है।
It's April first.	आज एक अप्रैल है।
It's now my turn.	अब मेरी बारी है।
Let me try again.	मै फिर से कोशिश करता हूँ।
Nice to meet you.	आपसे मिलकर खुशी हुई।
Please follow me.	मेरे साथ आईए।
Please sign here.	यहाँ अपना हस्ताक्षर कीजिए।
She betrayed you.	उसने तुम्हें धोखा दिया।
Sit down, please.	बैठिए।
The car is ready.	गाड़ी तैयार है।
This is your dog.	यह तुम्हारा कुत्ता है।
This is your key.	यह आपकी चाबी है।
This isn't right.	यह सही नहीं है।
Tom is my friend.	टॉम मेरा दोस्त है।
We're going home.	हम घर जा रहें हैं।
We're in a hurry.	हम जल्दी में हैं।
Welcome to Japan.	जापान में आपका स्वागत है।
What is your age?	तुम्हारी उम्र क्या है?
What's that bird?	वह कौनसी चिड़िया है?
What's the story?	क्या कहानी है?
What's your name?	आपका नाम क्या है?
Where did you go?	तुम कहाँ गए थे?
Where is the bar?	शराबख़ाना कहाँ है?
Whose turn is it?	किसकी बारी है?
You may be right.	तुम शायद सही हो।
Are your eyes bad?	तुम्हारी आँखे खराब हैं क्या?
Birds build nests.	पक्षी घोसले बनातें हैं।
Birds build nests.	चिड़ियाँ घोसले बनातीं हैं।
Boys will be boys.	लड़के तो लड़के ही रहेंगे।
Can I do anything?	मैं कुछ कर सकता हूँ क्या?
Didn't you go out?	आप बाहर नहीं गए थें क्या?
Didn't you go out?	तुम बाहर नहीं गए थे क्या?
Didn't you go out?	तू बाहर नहीं गया था क्या?
Do you believe me?	क्या तुम्हे मुझपर यकीन है?
Do you believe me?	क्या तुम मुझपर यकीन करते हो?
Do you believe me?	क्या तुम मेरा यकीन करते हो?
Don't deceive him.	उसे धोका मत दो।
He began to shout.	वह चिल्लाने लगा।
He came to see me.	वह मुझसे मिलने आया था।
He employs a maid.	वह नौकरानी रखता है।
He is after a job.	वह किसी नौकरी के पीछे पड़ा है।
He is walking now.	वह अब चल रहा है।
He studied abroad.	उसने विदेश में पढ़ाई करी थी।
He turned traitor.	वह देशद्रोही बन गया।
He's already left.	वह जाचुका है।
I can drive a car.	मैं गाड़ी चला सकता हूँ।
I cried all night.	मैं पूरी रात रोई।
I got very sleepy.	मुझे नींद आ गई।
I have a headache.	मेरे सिर में दर्द हो रहा है।
I have a headache.	मुझे सिरदर्द हो रहा है।
I have some money.	मेरे पास कुछ पैसे हैं।
I haven't met him.	मेरी उससे मुलाकात नहीं हुई है।
I listen to music.	मैं संगीत सुनता हूँ।
I saw him running.	मैंने उसे दौड़ते हुए देखा।
I saw him running.	मैंने उसे भागते हुए देखा।
I truly loved her.	मैं उससे सच्चा प्यार करता था।
I work for a bank.	मैं बैंक में काम करता हूँ।
I'm getting happy.	मैं खुश हो रहा हूँ।
I'm not a student.	मैं विद्यार्थी नहीं हूँ।
I'm not like that.	मैं वैसा नहीं हूँ।
I'm really hungry.	मुझे बहुत भूख लगी है।
It's not my fault.	मेरी ग़लती नहीं है।
It's starting now.	शुरू हो रहा है।
My bag was stolen.	मेरा बस्ता चोरी हो गया था।
My eyes are tired.	मेरी आँखें थक गईं हैं।
No one's in sight.	आसपास कोई नहीं है।
Put your hands up!	हाथ ऊपर करो!
She began to sing.	वह गाने लगी।
She has blue eyes.	उसकी नीली आँखें हैं।
She isn't married.	वह शादीशुदा नहीं है।
Tell me the truth.	मुझे सच्चाई बताओ।
The earth rotates.	पृथ्वी घूमती है।
Try it once again.	एक बार फिरसे कोशिश करो।
Try it once again.	एक बार और प्रयत्न करो।
Turn on the radio.	रेडियो को चालू करो।
We don't know her.	हम उसे नहीं जानते हैं।
We don't know him.	हम उसे नहीं जानते हैं।
We have good news.	हमारे पास खुशखबर है।
What is happiness?	खुशी क्या होती है?
What is happiness?	सुख क्या होता है?
What is your name?	आपका नाम क्या है?
What's the matter?	मुश्किल क्या है?
Where do you live?	आप कहाँ रहते हैं?
Where do you live?	तुम कहाँ रहते हो?
Where do you live?	तू कहाँ रहता है?
Where do you live?	तुम कहाँ रहती हो?
Where do you live?	तू कहाँ रहती है?
Where is the book?	वह किताब कहाँ है?
Where's the beach?	समुद्र तट कहां है?
Who made this pie?	यह पाय किसने बनाई है?
Yes. That's right.	हाँ। यह सही है।
You have to leave.	तुम्हें जाना होगा।
Are you busy today?	तुम आज बिज़ी हो क्या?
Are you busy today?	तुम्हारे पास आज समय है क्या?
Can we have a talk?	हम बात कर सकते हैं क्या?
Come along with us.	हमारे साथ आओ।
Did you sleep well?	तुम अच्छे से सोये क्या?
Do you remember me?	तुम्हें मैं याद हूँ क्या?
Don't give up hope.	उम्मीद मत छोड़ो।
Don't throw stones.	पत्थर मत फेंको।
Everyone likes her.	उसे सब पसंद करते हैं।
Everyone likes him.	उसे सब पसंद करते हैं।
Have you gone nuts?	तेरी अकल घास चरने गई है क्या?
He breathed deeply.	उसने गहरी साँस ली।
He closed his eyes.	उसने अपनी आँखें बंद करीं।
He cried and cried.	वह रोया और और रोया।
He is a simple man.	वह साधा आदमी है।
He is sure to come.	वह ज़रूर आएगा।
He isn't my cousin.	वह मेरा चचेरा भाई नहीं है।
He isn't my cousin.	वह मेरा ममेरा भाई नहीं है।
He waited his turn.	उसने अपनी बारी का इंतेज़ार किया।
He works at a bank.	वह बैंक में काम करता है।
He's a good person.	वह अच्छा इनसान है।
I admit my mistake.	मैं अपनी ग़लती मानता हूँ।
I can read English.	मैं अंग्रेज़ी पढ़ सकता हूँ।
I can read English.	मैं अंग्रेज़ी पढ़ सकती हूँ।
I can't believe it!	मुझे विश्वास नहीं होता!
I heard him go out.	मैंने उसके बाहर जाने की आवाज़ सुनी।
I know her address.	मुझे उसका पता पता है।
I know his address.	मुझे उसका पता पता है।
I know those women.	मैं उन औरतों को जानता हूँ।
I know your father.	मैं तुम्हारे पिताजी को जानता हूँ।
I sort of like him.	मुझे वह अच्छा सा लगता है।
I still don't know.	मुझे अभी भी नहीं पता।
I was born in 1960.	मैं १९६० में पैदा हुआ था।
I was born in 1979.	मैं १९७९ में पैदा हुआ था।
I watch television.	मैं टीवी देखता हूँ।
I worked all night.	मैंने पूरी रात काम किया।
I worked all night.	मैंने रातभर काम किया।
I'll see you later.	बाद में मिलेंगे।
I'll see you later.	फिर मिलेंगे।
I'm as tall as you.	मैं तुम्हारे जितना लम्बा हूँ।
I'm coming at once.	मैं अभी आता हूँ।
Is this book yours?	क्या यह किताब तुम्हारी है?
It is already dark.	अभी से रात हो गई है।
It looks like snow.	बरफ़ जैसा दिखता है।
It started to snow.	बरफ़ गिरनी शुरू गो गई।
It was sort of fun.	वो मजेदार था I
It's mine, not his.	मेरा है, उसका नहीं।
It's mine, not his.	मेरी है, उसकी नहीं।
It's too expensive.	बहुत महंगा है!
It's too expensive.	बहुत महंगी है!
It's very hot here.	यहाँ बहुत गरम है।
Let me handle this.	यह मुझे संभालने दो।
Let's take a train.	रेलगाड़ी से चलते हैं।
My car is a Toyota.	मेरी गाड़ी टोयोटा है।
My family is small.	मेरा परिवार छोटा है।
No one can help me.	कोई मेरी मदद नहीं कर सकता।
She is very pretty.	वह बहुत सुंदर है।
She leaped for joy.	वह खुशी से उछल पड़ी।
She smiled happily.	उसने खुशी से मुस्कुराया।
She's not a doctor.	वह डॉक्टर नहीं है।
That guy annoys me.	मुझे उस आदमी से चिढ़ आती है।
The batter was out.	बॅटर आऊट हो गया था।
The crow flew away.	कौआ उड़ गया।
The power went out.	बिजली चली गई।
These dogs are big.	ये कुत्ते बड़े हैं।
This is Mary's dog.	यह मेरी का कुत्ता है।
Was his story true?	उसकी कहानी सच्ची थी क्या?
We are against war.	हम जंग के ख़िलाफ़ हैं।
We are against war.	हम युद्ध का विरोध करते हैं।
We enjoyed skating.	हमे स्केटिंग करके मज़ा आया।
We were in a hurry.	हम जल्दी में थे।
We were very tired.	हम बहुत थक चुके थे।
We're good friends.	हम अच्छे दोस्त हैं।
What a big pumpkin!	कितना बड़ा कद्दू है!
What's the problem?	मुश्किल क्या है?
When does it begin?	शुरू कब होता है?
Where are the kids?	बच्चे कहाँ गए?
Where is the beach?	समुद्र तट कहां है?
Which dog is yours?	तुम्हारा कुत्ता कौनसा है?
Who broke the vase?	गुलदान को किसने तोड़ दिया?
Who made this cake?	यह केक किसने बनाया है?
Who's at the wheel?	गाड़ी कौन चला रहा है?
Whose book is this?	यह किसकी किताब है?
You may use my pen.	तुम मेरी कलम इस्तेमाल कर सकते हो।
Answer my questions.	मेरे सवालों का जवाब दो।
Are they in the gym?	वे जिमखाने में हैं क्या?
Can you drive a car?	तुम्हें गाड़ी चलाना आता है क्या?
Can you drive a car?	तुम गाड़ी चला सकते हो क्या?
Could you sign here?	यहाँ हस्ताक्षर कर सकते हैं क्या?
Everybody likes her.	उसे सब पसंद करते हैं।
Everybody likes him.	उसे सब पसंद करते हैं।
Excuse me, I'm lost.	माफ़ कीजिएगा, मैं खो गई हूँ।
He called me a taxi.	उसने मेरे लिए टेक्सी बुलवाई।
He felt very lonely.	उसे बहुत अकेलापन महसूस हुआ।
He lives next to me.	वह मेरे पड़ोस में रहता है।
He looks very tired.	वह बहुत थका-हारा सा लगता है।
He seems to be rich.	वह दिखने में बहुत अमीर लगता है।
He'll get well soon.	वह जल्द ही ठीक हो जाएगा।
He's in a bad state.	उसकी हालत बुरी है।
How about the taste?	और स्वाद कैसा है?
How did you make it?	तुमने कैसे बनाया?
I am not from India.	मैं भारत से नहीं हूँ।
I am reading a book.	मैं किताब पढ़ रही हूँ।
I bought an old car.	मैंने पुरानी गाड़ी खरीदी।
I can teach English.	मैं अंग्रेज़ी पढ़ा सकता हूँ।
I continued singing.	मैं गाता चला गया।
I do not understand.	मैं समझा नहीं।
I don't like summer.	मुझे गर्मी का मौसम पसंद नहीं है।
I forgot to ask him.	मैं उससे पूछना भूल गया।
I hate taking risks.	मुझे जोखिम लेना पसंद नहीं है।
I haven't eaten yet.	मैंने अभी तक नहीं खाया है।
I know both of them.	मैं दोनो को जानता था।
I know what that is.	मुझे पता है कि वह चीज़ क्या है।
I tried to tell you.	मैंने तुम्हे बताने की कोशिश करी थी।
I want to marry her.	मैं उससे शादी करना चाहता हूँ।
I wanted her to win.	मैं चाहता था कि वह जीत जाए।
I'd like a city map.	मुझे शहर का नक्शा चाहिए।
I'd like to see her.	मैं उसे देखना चाहूँगा।
I'd like to see her.	मैं उससे मिलना चाहूँगा।
I'll be back at ten.	मैं दस बजे वापस आऊँगा।
I'll bring the wine.	मैं शराब लाता हूँ।
I'll bring the wine.	मैं शराब लाऊँगा।
I'll make you happy.	मैं तुम्हें खुश करूँगा।
I've already called.	मैंने फ़ोन कर लिया है।
I've lost my ticket.	मेरी टिकट खो गई है।
Let's play baseball!	चलो बेसबॉल खेलतें हैं।
Must I write in ink?	मुझे स्याही से ही लिखना होगा?
My family loved Tom.	मेरे परिवार को टॉम पसंद था।
My money was stolen.	मेरे पैसे चोरी हो गए।
My sister has a job.	मेरी बहन के पास नौकरी है।
She kept on working.	वह काम करती रही।
She pulled my shirt.	उसने मेरी कमीज़ खींची।
That is not a tiger.	वह बाघ नहीं है।
That was my mistake.	वह मेरी ग़लती थी।
The skies are clear.	आसमान साफ़ है।
The trees are green.	पेड़ हरे हैं।
These are our books.	ये हमारी किताबें हैं।
This is what I need.	यह वही चीज़ है जिसकी मुझे ज़रूरत है।
Watch your language.	ज़बान सम्भाल के बात करो।
We are good friends.	हम अच्छे दोस्त हैं।
We must pay the tax.	हमें टैक्स भरना पड़ेगा।
What did you answer?	तुमने क्या जवाब दिया?
What is in this box?	इस डब्बे में क्या है?
What were you doing?	तुम क्या कर रहे थे?
Where are you going?	तुम कहाँ जा रहे हो?
Where are you going?	आप कहाँ जा रहे हैं?
Where's the airport?	हवाई अड्डा कहाँ पर है?
Which book is yours?	तुम्हारी किताब कौनसी है?
Who is your teacher?	तुम्हारे टीचर कौन हैं?
Why didn't you come?	तुम क्यों नहीं आए?
Will you go with us?	तुम हमारे साथ आओगे क्या?
Winter is coming on.	सर्दी आ रही है।
You are at it again.	तुम फिरसे चालू हो गए।
You must forgive me.	तुम्हे मुझे माफ़ करना होगा।
You must forgive me.	आपको मुझे क्षमा करना होगा।
You must study hard.	तुम्हें मन लगाकर पढ़ना होगा।
You're a life saver.	तुमने मेरी जान बचाली।
Didn't I tell you so?	मैंने तुम्हें बताया नहीं था?
Do you have a pencil?	तुम्हारे पास पेनसिल है क्या?
Do you live in Tokyo?	तुम टोक्यो में रहते हो क्या?
Do you speak English?	क्या आप अंग्रेज़ी बोलते हैं?
Don't open your book.	अपनी किताब मत खोलो।
Don't worry about me.	मेरी चिंता मत करो।
Don't worry about us.	हमारी चिंता मत करो।
Fish live in the sea.	मछलियाँ समुंदर में रहतीं हैं।
Have you been abroad?	आप विदेश गए हुए हैं क्या?
He envied my success.	उसको मेरी कामयाबी से जलन थी।
He got angry with me.	वह मुझपर गुस्सा हो गया।
He has been to India.	वह भारत गया हुआ है।
He is angry with you.	वह तुमसे नाराज़ है।
He is hard to please.	उसको खुश करना बहुत मुश्किल है।
He is in poor health.	उसकी हालत बुरी है।
He lent me two books.	उसने मुझे दो किताबें उधार दीं।
He made up an excuse.	उसने कोई बहाना बना लिया।
He married for money.	उसने पैसों के लिए शादी की।
He saw a pretty girl.	उसने एक सुंदर लड़की को देखा।
He wanted to succeed.	वह कामयाब होना चाहता था।
How's your job going?	तुम्हारी नौकरी कैसी चल रही है?
I agree to this plan.	मैं इस योजना से सहमत हूँ।
I am a stranger here.	मुझे यहाँ पर अजनबी के जैसा महसूस होता है।
I am counting on you.	मैं तुमपर भरोसा कर रहा हूँ।
I am eating an apple.	मैं सेव खा रहा हूँ ।
I am eating an apple.	मैं सेव खा रही हूँ ।
I don't mind waiting.	मुझे प्रतीक्षा करने में कोई आपत्ती नहीं है।
I expect him to come.	मुझे लगता है वह आएगा।
I feel like vomiting.	मुझे उल्टी आ रही है।
I have a few friends.	मेरे पास कुछ दोस्त हैं।
I have a stomachache.	मुझे पेट में दर्द हो रहा है।
I have back problems.	मुझे पीठ की तकलीफ है I
I have caught a cold.	मुझे ज़ुकाम हो गया है।
I just cut my finger.	मैंने अपनी ऊँगली काट ली।
I know why he did it.	मुझे पता है उसने क्यों किया था।
I live in a big city.	मैं बड़े शहर में रहता हूँ।
I lost consciousness.	मैं बेहोशी में चला गया।
I lost consciousness.	मैं बेहोश हो गया।
I meant it as a joke.	मैंने तो मज़ाक के तौर पर कहा था।
I meant it as a joke.	मैंने तो मज़ाक समझकर बोला था।
I met Mary yesterday.	मैं कल मेरी से मिला था।
I think you're right.	मेरे ख़याल से तुम सही हो।
I want my money back.	मुझे अपने पैसे वापस चाहिए।
I will come with you.	मैं तुम्हारे साथ आऊँगा।
I'll admit I'm wrong.	मैं मानता हूँ कि मैं ग़लत था।
I'll never come back.	मैं कभी वापस नहीं आऊँगा।
I'm allergic to fish.	मुझे मछली से एलर्जी है।
I've lost my glasses.	मेरा चश्मा खो गया है।
I've lost my glasses.	मेरे चश्मे खो गए हैं।
I've made a decision.	मैं फ़ैसला कर चुका हूँ।
Is he reading a book?	वह किताब पढ़ रहा है क्या?
Is it open on Sunday?	रविवार को खुला होता है क्या?
Is the phone ringing?	फ़ोन बज रहा है क्या?
It is already eleven.	ग्यारह बज चुके हैं।
It is free of charge.	यह मुफ़्त का है।
It's an easy victory.	यह जीत तो बहुत आसान थी।
Let me take you home.	मुझे तुम्हें घर लेजाने दो।
Lincoln died in 1865.	लिंकन की मौत १८६५ में हुई थी।
Please do it quickly.	जल्दी कीजिए।
Please shut the door.	दरवाज़े को बंद कर दीजिए।
She gave him a watch.	उसने उसे एक घड़ी दी।
She wore a red dress.	उसने लाल रंग के कपड़े पहने थे।
She wore a red dress.	उसने लाल ड्रेस पहनी थी।
That's his specialty.	वह उसकी ख़ासियत है।
The house is haunted.	इस घर में भूत है।
The house was ablaze.	घर आग में लिपटा हुआ था।
The man looked at me.	उस आदमी ने मेरी ओर देखा।
The sheets feel damp.	चादरें गीलीं लगतीं हैं।
The water pipe burst.	पानी का पाइप फट गया।
These books are mine.	ये किताबें मेरीं हैं।
These shoes are hers.	यह जूते उसके हैं।
They went to the zoo.	वे ज़ू गए थे।
This feels like silk.	यह रेशम जैसा लगता है।
This watch is broken.	यह घड़ी टूटी हुई है।
Time goes by quickly.	समय तेज़ी से बीतता है।
Wash your hands well.	अपने हाथ अच्छे से धोओ।
What day is it today?	आज कौनसा वार है?
What does it contain?	इसमें क्या है?
When did you see her?	तुमने उसे कब देखा था?
When will you return?	तुम कब लौट कर आओगे?
Where is the problem?	मुश्किल क्या है?
Where is the problem?	मुश्किल कहाँ है?
Where is your father?	तुम्हारे पिता कहाँ हैं?
Will you go by train?	तुम रेलगाड़ी से जाओगे क्या?
You can't prove that.	तुम वह साबित नहीं कर सकते।
You look happy today.	तुम आज खुश लगते हो।
